13-9-11 下午8:01
项目统计

     	  片段	   词汇	字符（不含空白字符）	字符（含空白字符）	
总共：  	5752	47395	    251164	   292443	
剩余：  	4638	42218	    220940	   258242	
独特：  	5359	46125	    243133	   283584	
剩余独特：	4358	41241	    215339	   251986	


单个文件统计：

文件名                                           	总片段	剩余片段	独特片段	剩余独特片段	 总词汇	剩余词汇	独特词汇	剩余独特词汇	总字符（不含空白字符）	剩余字符（不含空白字符）	独特字符（不含空白字符）	剩余独特字符（不含空白字符）	总字符（含空白字符）	剩余字符（含空白字符）	独特字符（含空白字符）	剩余独特字符（含空白字符）	
doc_src\en\AboutOmegaT.xml                    	 56	  56	  56	    56	 967	 967	 967	   967	       5347	        5347	        5347	          5347	      6261	       6261	       6261	         6261	
doc_src\en\App_Aknowledgements.xml            	 15	  15	  15	    15	 197	 197	 197	   197	       1033	        1033	        1033	          1033	      1211	       1211	       1211	         1211	
doc_src\en\App_Keyboard.xml                   	 54	  54	  54	    54	 385	 385	 385	   385	       1802	        1802	        1802	          1802	      2110	       2110	       2110	         2110	
doc_src\en\App_Languages.xml                  	562	 550	 562	   550	 656	 644	 656	   644	       2846	        2764	        2846	          2764	      2932	       2850	       2932	         2850	
doc_src\en\App_LanguageTool_plugin.xml        	 20	  20	  20	    20	 201	 201	 201	   201	       1118	        1118	        1118	          1118	      1296	       1296	       1296	         1296	
doc_src\en\App_LegalNotices.xml               	 22	  22	  18	    18	 299	 299	 292	   292	       1683	        1683	        1626	          1626	      1960	       1960	       1900	         1900	
doc_src\en\App_Scripting_plugin.xml           	 46	  46	  40	    40	 549	 549	 545	   545	       3052	        3052	        3018	          3018	      3564	       3564	       3528	         3528	
doc_src\en\App_ShortCutCustomization.xml      	256	 251	 229	   224	 872	 859	 814	   801	       6408	        6313	        6112	          6017	      6941	       6838	       6613	         6510	
doc_src\en\App_TeamProjects.xml               	102	 102	 101	   101	1534	1534	1532	  1532	       7880	        7880	        7857	          7857	      9315	       9315	       9292	         9292	
doc_src\en\App_Tokenizer_plugin.xml           	 22	  22	  20	    20	 209	 209	 207	   207	       1220	        1220	        1191	          1191	      1409	       1409	       1380	         1380	
doc_src\en\App_Website.xml                    	 44	  43	  44	    43	 419	 415	 419	   415	       2449	        2407	        2449	          2407	      2776	       2734	       2776	         2734	
doc_src\en\Dictionaries.xml                   	 32	  32	  31	    31	 247	 247	 246	   246	       1453	        1453	        1441	          1441	      1676	       1676	       1664	         1664	
doc_src\en\EditingBehavior.xml                	 58	  58	  58	    58	 738	 738	 738	   738	       3836	        3836	        3836	          3836	      4535	       4535	       4535	         4535	
doc_src\en\FileFilters.xml                    	148	 144	 142	   138	1778	1768	1692	  1682	       9535	        9484	        9073	          9022	     11165	      11108	      10621	        10564	
doc_src\en\FilesAndFolders.xml                	153	 153	 150	   150	1477	1477	1470	  1470	       8092	        8092	        8037	          8037	      9412	       9412	       9353	         9353	
doc_src\en\FilesToTranslate.xml               	128	 128	 127	   127	1456	1456	1452	  1452	       7465	        7465	        7445	          7445	      8796	       8796	       8773	         8773	
doc_src\en\FormattedText.xml                  	116	 116	 113	   113	1427	1427	1424	  1424	       7318	        7318	        7294	          7294	      8623	       8623	       8599	         8599	
doc_src\en\Glossaries.xml                     	 83	  81	  82	    81	1098	1096	1097	  1096	       5551	        5531	        5541	          5531	      6566	       6546	       6556	         6546	
doc_src\en\InstallingAndRunning.xml           	337	 332	 308	   306	3895	3885	3673	  3669	      20488	       20405	       19304	         19269	     23902	      23814	      22529	        22492	
doc_src\en\InstantStartGuide.xml              	 47	  45	  46	    45	 760	 749	 756	   749	       3645	        3576	        3603	          3576	      4354	       4279	       4312	         4279	
doc_src\en\license.txt                        	650	 649	 647	   646	5658	5657	5654	  5653	      28638	       28636	       28620	         28618	     33636	      33634	      33617	        33615	
doc_src\en\MachineTranslation.xml             	 69	  65	  66	    63	 936	 930	 928	   924	       5153	        5102	        5077	          5044	      6014	       5961	       5937	         5903	
doc_src\en\Menu.xml                           	369	 357	 259	   254	2467	2445	2190	  2185	      12669	       12521	       11082	         11055	     14781	      14623	      13027	        13000	
doc_src\en\Miscelanea.xml                     	 98	  98	  86	    86	1104	1104	1019	  1019	       5902	        5902	        5430	          5430	      6875	       6875	       6341	         6341	
doc_src\en\OmegaTUsersManual_xinclude full.xml	  6	   6	   5	     5	  28	  28	  27	    27	        155	         155	         153	           153	       178	        178	        176	          176	
doc_src\en\PlainText.xml                      	 33	  33	  31	    31	 506	 506	 498	   498	       2457	        2457	        2413	          2413	      2936	       2936	       2886	         2886	
doc_src\en\ProjectProperties.xml              	 56	  56	  53	    53	 814	 814	 794	   794	       4389	        4389	        4268	          4268	      5149	       5149	       5011	         5011	
doc_src\en\Regexp.xml                         	167	 167	 146	   146	 797	 797	 728	   728	       4203	        4203	        3789	          3789	      4806	       4806	       4353	         4353	
doc_src\en\Searches.xml                       	 69	  69	  67	    67	 857	 857	 854	   854	       4267	        4267	        4247	          4247	      5074	       5074	       5053	         5053	
doc_src\en\Segmentation.xml                   	 86	  86	  81	    81	1032	1032	1027	  1027	       5191	        5191	        5166	          5166	      6161	       6161	       6135	         6135	
doc_src\en\Spellchecker.xml                   	 43	  43	  42	    42	 747	 747	 745	   745	       3963	        3963	        3951	          3951	      4670	       4670	       4657	         4657	
doc_src\en\TranslationMemories.xml            	188	 187	 186	   185	3170	3168	3162	  3160	      16493	       16479	       16443	         16429	     19475	      19460	      19419	        19404	
doc_src\en\UserInterface.xml                  	306	 304	 285	   285	3485	3483	3424	  3424	      17766	       17746	       17397	         17397	     20974	      20954	      20564	        20564	
readme.utf8                                   	346	 242	 304	   218	2039	1537	1952	  1480	      11742	        8087	       10592	          7685	     13444	       9357	      12270	         8944	
release\win32-specific\CustomMessages.ini     	  5	   0	   5	     0	  45	   0	  45	     0	        231	           0	         231	             0	       271	          0	        271	            0	
src\org\omegat\Bundle.properties              	960	   6	 880	     6	4546	  11	4315	    11	      25724	          63	       24301	            63	     29195	         67	      27626	           67	
